,comment_text,toxic
38,  balance  This page has one sentence about the basic definition of the word and a huge amount about the slangprofane uses Perhaps the former should be extended is there no information about female dogs available beyond their name This is an encyclopaedia not a dictionary     i feel that whoever is looking this definition up is very appropiate and should be deleted from wikipediaIMMEDIATLY this word is used very often and is also a very mean word i belive that is majorly true very much so okay so the good meaning is a female dog  BITCH It also stands for the name Brittany Fellowsâ€”Preceding unsigned comment added by   â€¢     etymology  The word bitch is from the Old Norse Bikkjuna meaning female of the dog of unknown origin Grimm derives the Old Norse words from Lapp Pittja But OED notes that the converse is equally possible  The adj Bitchy was first seen in 1925   The verb meaning to complain in 1930  Slang Bitchen good is attested to the 1950s   reclaiming the word bitch   The word bitch is actually only offencive in American and Canadian English In most other English variants bitch maintains its correct definition  female canine People have argued that bitch is different because it is used as an insult  but so is pig dog cow and others These are not considered profane so why is bitch As far as I am concerned there is nothing to reclaim as bitch simply means a female canine  It may be used as a pejorative or descriptor  that does not make it a profanity      It should definately say something about Kyle Vanderweilen and all his bitchin Is there any particular evidence of women reclaiming the word bitch in the 90s Can anyone point to articles on this etc The song is definitely interesting and belongs here but doesnt actually reclaim the word bitch any more than it reclaims the word sinner  Also I dont really understand the last paragraph and it sucks  I was going to try and clear it up but I realized I dont know what it means Can someone point to a source that lays out the argument about bitches fertility and patriarchy more clearly   We dont need articles at all as I there are definitely enough examples even outside of the 90s Missy Elliot cleary and repeatedly reclaims the word for instance Shes a Bitch    References are fine  just the name Missy Elliot got me to find a quote of a rolling stone review that mentioned reclaiming the word In fact if some one knows more about her it might be interesting to add a section on her work and on how it relates to womenslurs more generally within hiphop    How relevant is this reclamation It seems to me poison for a woman to use an epithet which still strongly connotes despised traits I dont see how using a word connoting querolous spiteful and malicious can be empowering But I dont know lifes a bitch    It stems from a reaction to the prevalence of tagging any woman who doesnt adhere to a certain standard of femininity as a bitch To use a literary example in the novel The Handmaids Tale the narrator related the feeling that whenever she outsmarted a man she could almost hear him calling her a bitch in his mind even her own husband     That literary reaction you recited is jealousy men have names for other men who outsmart them too but not having a word like bitch for them they have to resort to a greater variety of pejoritive epithets Though you havent been specific I think that standard of femininity you referred to is a pretext for subordination which both sexes often strive to impose on the other but men have traditionally had more power Because it is such a popular epithet in slang the connotations of bitch are diffuse though still commonly pernicious I think bitch in itself is not chiefly a denunciation to punish women who do not conform to that standard but rather a contemptuous word often used for it  However I still dont see the point of reclamati,no
252, Bitch Creek Cow Camp Idaho   Hey Just a heads up I looked into this one and indeed there is a place named Bitch Creek Cow Camp Wanted to let you know that the folks in Idaho need not worry,no
996, Lyor Cohen   If you try and take out my sourced links again tell your hebe faggot benefactor whos paying you to make his vanitybio squeaky clean Ill put in a section    Controversy  The TVT Lawsuit  The FBI investigation into his participation in money laundering with Irv Gotti Ja Rule and Murder Inc  Kthxbye Factotum bitch,no
1242,To cut a Bitch,yes
2092,   Most improved    stylebackgroundcolor fdffe7 border 1px solid fceb92  rowspan2 styleverticalalign middle padding 5px    stylefontsize xlarge padding 3px 3px 0 3px height 15em  bitch    styleverticalalign middle padding 3px  congrats     ,no
2599,and bitch about me or my edits,yes
2956,If allowed please upload Lil Kims remix the opening line where she interpolated Its Britney bitchand Lil Kim Kimme Kimme More  ,no
6970,Votes for deletion  Per the consensus at WikipediaVotes for deletionElizabeth Davis this article has been merged to 7 Year Bitch,no
7146,   Trouted     Whack  You have been trouted for THIS BITCH IS TRYING TO BAN ME,yes
7669, Context   I wasnt using bitch obscenely It was vandalism I cleared up  bitch was an incidental double entendre If you look back to my edit Bordello Bitch and the one previous comparing the two I have replaced Bitch with Ann after some research I asked for  simple corroboration on the talk page bitch take a joke,yes
7754,Its been a couple of days now we need to reach some kind of agreement what good does not moving it do The absolute worst itll do is someone searching for insult will type in Bitch and theyll be redirected to the disambiguation and then theyll learn to now write insult please anyone opposing the move who no longer agrees with opposing reverse your comment to Support if you do not know how or want to reverse it but dont feel like physically doing it Contact me by clicking here and leave me a message saying youd like to reverse Thank You     ,no
8290,You should suck a hairy cock you judge mental bitch,yes
8532,   Nicknames   Since pig is mentioned why not black bitch its other unflattering nickname Im sure there are sources out there for it  ,yes
8898,Are you people on a group delusion I never editted any of the pages youre talking about Are you people on drugs  SkankBitch,yes
10138, BITCH   SHE IS A FAGG AND I WILL RAPE HER ,yes
